,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster
111,2,3,1,1,1,1,1,5,1,1,1,1,2
112,3,3,1,1,1,1,1,6,1,1,1,1,2
113,4,3,1,1,1,1,1,7,1,1,1,1,2
114,5,3,1,1,1,1,1,3,1,1,1,1,1
115,1,3,1,1,1,1,1,4,1,1,1,1,2
116,2,3,1,1,1,1,1,5,1,1,1,1,2
117,3,3,1,1,1,1,1,2,1,1,1,1,2
118,4,3,1,1,1,1,1,4,1,1,1,1,2
119,5,3,1,1,1,1,1,4,1,1,1,1,1
120,1,3,1,1,1,1,1,3,1,1,1,1,2
121,2,3,1,1,1,1,1,6,1,1,1,1,2
122,3,3,1,1,1,1,1,4,1,1,1,1,2
123,4,3,1,1,1,1,1,3,1,1,1,1,2
124,1,3,1,1,1,1,1,5,1,1,1,1,2
125,2,3,1,1,1,1,1,2,1,1,1,1,2
126,4,3,1,1,1,1,1,3,1,1,1,1,2
127,3,3,1,1,1,1,1,5,1,1,1,1,2
128,4,3,1,1,1,1,1,2,1,1,1,1,1
129,5,3,1,1,1,1,1,2,1,1,1,1,1
130,1,3,1,1,1,1,1,2,1,1,1,1,2
131,2,3,1,1,1,1,1,4,1,1,1,1,2
132,3,3,1,1,1,1,1,2,1,1,1,1,2
133,4,3,1,1,1,1,1,2,1,1,1,1,1
134,5,3,1,1,1,1,1,5,1,1,1,1,2
135,1,3,1,1,1,1,1,6,1,1,1,1,2
136,2,3,1,1,1,1,1,4,1,1,1,1,2
137,3,3,1,1,1,1,1,3,1,1,1,1,2
138,4,3,1,1,1,1,1,3,1,1,1,1,2
139,5,3,1,1,1,1,1,1,1,1,1,1,1
140,1,3,1,1,1,1,1,1,1,1,1,1,2
141,2,3,1,1,1,1,2,10,1,1,1,1,2
142,3,3,1,1,1,1,1,2,1,1,1,1,2
143,1,3,1,1,1,1,2,5,1,1,1,1,2
144,2,3,1,1,1,1,1,4,1,1,1,1,2
145,3,3,1,1,1,1,1,4,1,1,1,1,2
146,4,3,1,1,1,1,1,4,1,1,1,1,2
147,5,3,1,1,1,1,1,2,1,1,1,1,1
148,1,3,1,1,1,1,1,2,1,1,1,1,2
149,3,3,1,1,1,1,1,3,1,1,1,1,2
150,1,3,1,1,1,1,1,2,1,1,1,1,2
151,2,3,1,1,1,1,1,3,1,1,1,1,2
152,3,3,1,1,1,1,1,5,1,1,1,1,2
153,4,3,1,1,1,1,1,3,1,1,1,1,2
154,5,3,1,1,1,1,1,2,1,1,1,1,1
155,1,3,1,1,1,1,1,5,1,1,1,1,2
156,2,2,1,1,1,1,1,1,1,1,1,1,2
157,3,2,1,1,1,1,1,1,1,1,1,1,1
158,4,3,1,1,1,1,2,3,1,1,1,1,2
159,2,3,1,1,1,1,1,6,1,1,1,1,2
160,3,3,1,1,1,1,1,3,1,1,1,1,2
161,5,3,1,1,1,1,1,4,1,1,1,1,1
162,1,3,1,1,1,1,1,4,1,1,1,1,2
163,3,3,1,1,1,1,1,3,1,1,1,1,2
164,4,3,1,1,1,1,1,3,1,1,1,1,2
165,5,3,1,1,1,1,1,4,1,1,1,1,1
166,1,2,1,1,1,1,1,4,1,1,1,1,2
167,2,2,1,1,1,1,1,4,1,1,1,1,2
168,3,3,1,1,1,1,1,3,1,1,1,1,2
169,5,3,1,1,1,1,1,4,1,1,1,1,1
170,1,3,1,1,1,1,1,6,1,1,1,1,2
171,2,3,1,1,1,1,1,5,1,1,1,1,2
172,3,3,1,1,1,1,1,4,1,1,1,1,2
173,4,2,1,1,1,2,2,1,1,1,1,1,1
174,5,3,1,1,1,2,2,2,1,1,1,1,1
175,1,3,1,1,1,1,1,3,1,1,1,1,2
176,2,3,1,1,1,1,1,2,1,1,1,1,2
177,3,3,1,1,1,1,1,2,1,1,1,1,2
178,4,3,1,1,1,1,1,4,1,1,1,1,2
179,5,3,1,1,1,1,1,3,1,1,1,1,1
180,1,3,1,1,1,1,1,4,1,1,1,1,2
181,2,3,1,1,1,1,1,2,1,1,1,1,2
182,3,3,1,1,1,1,1,4,1,1,1,1,2
183,4,3,1,1,1,1,1,4,1,1,1,1,2
184,1,3,1,1,1,1,1,3,1,1,1,1,2
185,2,3,1,1,1,1,1,4,1,1,1,1,2
186,3,2,1,1,1,1,1,3,1,1,1,1,2
187,4,3,1,1,1,1,1,2,1,1,1,1,1
188,5,3,1,1,1,1,1,2,1,1,1,1,1
189,1,2,1,1,1,1,1,3,1,1,1,1,2
190,2,3,1,1,1,1,1,3,1,1,1,1,2
191,3,3,1,1,1,1,1,2,1,1,1,1,2
192,5,3,1,1,1,1,1,4,1,1,1,1,1
193,1,3,1,1,1,1,1,5,1,1,1,1,2
194,2,3,1,1,1,1,1,4,1,1,1,1,2
195,3,3,1,1,1,1,1,3,1,1,1,1,2
196,4,3,1,1,1,1,1,3,1,1,1,1,2
197,5,3,1,1,1,1,1,4,1,1,1,1,1
