,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster
22337,4,2,1,1,1,1,1,4,1,1,10,10,3
22338,5,3,1,1,1,1,2,3,1,1,10,10,0
22339,1,2,1,1,1,1,1,2,1,1,10,10,3
22340,2,2,1,1,1,1,1,5,1,1,10,10,3
22341,3,2,1,1,1,2,2,4,1,1,10,10,3
22342,4,3,1,1,1,1,1,4,1,1,10,10,3
22343,5,2,1,1,1,1,1,6,1,1,10,10,0
22344,1,2,1,1,1,1,1,17,1,1,10,10,2
22345,2,2,1,1,1,1,1,6,1,1,10,10,3
22346,3,2,1,1,1,1,1,1,1,1,10,10,3
22347,4,3,1,1,1,1,1,3,1,1,10,10,3
22348,5,3,1,1,1,1,1,4,1,1,10,10,0
22349,2,2,1,1,1,1,1,5,1,1,10,10,3
22350,3,3,1,1,1,1,1,5,1,1,10,10,3
22351,4,3,1,1,1,1,1,2,1,1,10,10,3
22352,2,2,1,1,1,1,1,3,1,1,10,10,3
22353,3,3,1,1,1,1,1,2,1,1,10,10,3
22354,4,3,1,1,1,1,1,10,1,1,10,10,2
22355,1,2,1,1,1,1,1,3,1,1,10,10,3
22356,3,2,1,1,1,1,1,7,1,1,10,10,3
22357,4,2,1,1,1,1,1,2,1,1,10,10,3
22358,5,3,1,1,1,1,1,7,1,1,10,10,0
22359,2,3,1,1,1,1,1,6,1,1,10,10,3
22360,3,3,1,1,1,1,1,3,1,1,10,10,3
22361,4,2,1,1,1,1,1,5,1,1,10,10,3
22362,5,2,1,1,1,1,2,1,1,1,10,10,0
22363,4,3,1,1,1,1,1,3,1,1,10,10,3
22364,5,2,2,1,1,1,2,4,1,1,10,10,0
22365,1,2,1,1,1,1,1,3,1,1,10,10,3
22366,2,2,1,1,1,1,2,3,1,1,10,10,3
22367,3,2,1,1,1,1,2,5,1,1,10,10,3
22368,4,3,1,1,1,1,1,6,1,1,10,10,0
22369,5,3,1,1,1,1,2,4,1,1,10,10,0
22370,1,3,1,1,1,1,1,5,1,1,10,10,3
22371,2,3,1,1,1,1,1,4,1,1,10,10,3
22372,3,2,1,1,1,1,1,3,1,1,10,10,3
22373,4,3,1,1,1,1,1,5,1,1,10,10,0
22374,5,3,1,1,1,1,1,12,1,1,10,10,2
22375,1,2,1,1,1,1,1,5,1,1,10,10,3
22376,2,2,1,1,1,1,2,2,1,1,10,10,3
22377,3,3,1,1,1,1,1,3,1,1,10,10,3
22378,5,3,1,1,1,1,1,3,1,1,10,10,0
22379,1,2,1,1,1,1,1,3,1,1,10,10,3
22380,2,2,1,1,1,1,2,6,1,1,10,10,3
22381,3,3,1,1,1,1,1,5,1,1,10,10,3
22382,4,2,2,1,1,1,1,1,1,1,10,10,3
22383,5,2,1,1,1,1,2,4,1,1,10,10,0
22384,1,2,1,1,1,1,1,1,1,1,10,10,3
22385,3,3,1,1,1,1,2,1,1,1,10,10,3
22386,4,3,1,1,1,1,1,4,1,1,10,10,3
22387,5,2,2,1,1,1,1,9,1,1,10,10,2
22388,1,2,1,1,1,1,1,6,1,1,10,10,3
22389,2,3,1,1,1,1,2,4,1,1,10,10,3
22390,3,3,1,1,1,1,1,4,1,1,10,10,3
22391,4,3,1,1,1,1,2,3,1,1,10,10,3
22392,5,3,1,1,1,1,1,3,1,1,10,10,0
22393,1,2,2,1,1,1,1,8,2,2,10,10,3
22394,3,3,1,1,1,1,2,1,1,1,10,10,3
22395,4,1,1,1,1,1,2,7,1,1,10,10,0
22396,5,2,1,1,1,1,1,6,1,1,10,10,0
22397,2,3,1,1,1,1,1,5,1,1,10,10,3
22398,5,3,1,1,1,1,1,2,1,1,10,10,0
22399,1,3,1,1,1,1,1,2,1,1,10,10,3
22400,2,3,1,1,1,1,1,2,1,1,10,10,3
22401,3,2,1,1,1,1,1,3,1,1,11,11,3
22402,4,2,1,1,1,1,1,6,1,1,11,11,3
22403,5,2,1,1,1,2,2,3,1,1,11,11,0
22404,1,2,1,1,1,1,1,2,1,1,11,11,3
22405,2,2,1,1,1,1,1,7,1,1,11,11,3
22406,3,2,1,1,1,1,2,5,1,1,11,11,3
22407,4,2,1,1,1,1,1,12,1,1,11,11,2
22408,5,2,1,1,1,1,1,4,1,1,11,11,0
22409,1,2,1,1,1,1,1,4,1,1,11,11,3
22410,2,3,1,1,1,1,1,4,1,1,11,11,3
22411,3,3,1,1,1,1,1,3,1,1,11,11,3
22412,4,3,1,1,1,1,1,3,1,1,11,11,3
22413,5,3,1,1,1,1,1,5,1,1,11,11,0
22414,1,3,1,1,1,1,1,5,1,1,11,11,3
22415,2,2,1,1,1,1,1,1,1,1,11,11,3
22416,3,2,1,1,1,1,1,2,1,1,11,11,3
22417,4,2,1,1,1,1,1,3,1,1,11,11,3
22418,5,2,1,1,1,1,2,2,1,1,11,11,0
22419,3,3,1,1,1,1,1,3,1,1,11,11,3
22420,1,3,1,1,1,1,1,4,1,1,11,11,3
22421,2,3,1,1,1,1,2,2,1,1,11,11,3
22422,3,1,1,1,1,1,1,4,1,1,11,11,3
22423,4,2,1,1,1,1,1,1,1,1,11,11,3
22424,5,2,1,1,1,2,1,5,1,1,11,11,0
22425,1,3,1,1,1,1,1,3,1,1,11,11,3
22426,2,3,1,1,1,1,1,4,1,1,11,11,3
22427,3,3,1,1,1,1,2,1,1,1,11,11,3
22428,5,3,1,1,1,1,1,4,1,1,11,11,0
22429,1,2,1,1,1,1,1,6,1,1,11,11,3
22430,2,2,1,1,1,1,1,4,1,1,11,11,3
22431,3,3,1,1,1,2,2,3,1,1,11,11,3
22432,4,2,1,1,1,1,2,7,1,1,11,11,3
22433,5,2,1,1,1,1,1,5,1,1,11,11,0
22434,1,3,1,1,1,1,1,3,1,1,11,11,3
22435,5,3,1,1,1,1,1,4,1,1,11,11,0
22436,1,3,1,1,1,1,1,5,1,1,11,11,3
22437,2,3,1,1,1,2,2,2,1,1,11,11,3
22438,3,3,1,1,1,1,2,3,1,1,11,11,3
22439,1,3,1,1,1,1,1,4,1,1,11,11,3
22440,2,3,1,1,1,1,1,4,1,1,11,11,3
22441,3,3,1,1,1,1,1,1,1,1,11,11,3
22442,4,2,1,1,1,1,1,3,1,1,11,11,3
22443,5,3,1,1,1,1,1,4,1,1,11,11,0
22444,1,3,1,1,1,1,1,4,1,1,11,11,3
22445,2,3,1,1,1,1,1,8,1,1,11,11,3
22446,3,3,1,1,1,1,1,3,1,1,11,11,3
22447,4,2,1,1,1,1,2,1,1,1,11,11,3
22448,5,3,1,1,1,1,1,5,1,1,11,11,0
22449,2,3,1,1,1,1,1,1,1,1,11,11,3
22450,4,3,1,1,1,1,1,4,1,1,11,11,3
22451,5,3,1,1,1,1,1,9,1,1,11,11,0
22452,1,3,1,1,1,1,1,3,1,1,11,11,3
22453,2,2,1,1,1,1,1,3,1,1,11,11,3
22454,3,3,1,1,1,1,1,2,1,1,11,11,3
22455,4,2,1,1,1,1,1,6,1,1,11,11,3
22456,5,3,1,1,1,1,1,8,1,1,11,11,0
22457,1,2,1,1,1,1,2,3,1,1,11,11,3
22458,2,3,1,1,1,1,1,3,1,1,11,11,3
22459,3,3,1,1,1,1,1,8,2,2,11,11,3
22460,4,3,1,1,1,1,1,5,1,1,11,11,3
22461,5,2,1,1,1,1,1,5,1,1,11,11,0
22462,2,3,1,1,1,1,1,2,1,1,11,11,3
22463,3,3,1,1,1,1,1,4,1,1,11,11,3
22464,4,3,1,1,1,1,1,3,1,1,11,11,3
22465,5,2,1,1,1,1,1,2,1,1,11,11,0
22466,1,3,1,1,1,1,1,5,1,1,11,11,3
22467,3,2,1,1,1,2,1,1,1,1,11,11,3
22468,4,3,1,1,1,1,1,3,1,1,11,11,3
22469,5,2,1,1,1,1,1,9,2,2,11,11,0
22470,1,3,1,1,1,1,1,1,1,1,11,11,3
22471,2,3,1,1,1,1,1,2,1,1,11,11,3
22472,3,3,1,1,1,1,1,3,1,1,11,11,3
22473,4,3,1,1,1,1,1,2,1,1,11,11,3
22474,5,3,1,1,1,1,1,3,1,1,11,11,0
22475,1,3,1,1,1,1,1,4,1,1,11,11,3
22476,2,3,1,1,1,1,1,4,1,1,11,11,3
22477,3,3,1,1,1,1,1,5,1,1,11,11,3
22478,4,2,1,1,1,1,1,6,1,1,11,11,3
22479,5,2,1,1,1,1,1,3,1,1,11,11,0
22480,4,3,1,1,1,1,1,8,2,2,11,11,3
22481,5,3,1,1,1,1,2,2,1,1,11,11,0
22482,1,2,1,1,1,1,1,5,1,1,11,11,3
22483,2,2,1,1,1,1,2,10,2,2,11,11,3
22484,3,2,1,1,1,1,1,5,1,1,11,11,3
22485,4,3,1,1,1,1,1,4,1,1,11,11,3
22486,5,2,6,2,1,1,2,7,2,2,11,11,0
22487,3,3,1,1,1,1,1,4,1,1,11,11,3
22488,4,3,1,1,1,1,1,3,1,1,11,11,3
22489,5,3,1,1,1,1,1,3,2,2,11,11,0
22490,1,3,1,1,1,1,1,5,1,1,11,11,3
22491,4,3,1,1,1,1,1,4,1,1,11,11,3
22492,1,3,1,1,1,1,1,3,1,1,11,11,3
22493,2,3,1,1,1,1,1,12,1,1,11,11,2
22494,3,3,1,1,1,1,1,4,1,1,11,11,3
22495,4,3,1,1,1,1,1,4,1,1,11,11,3
22496,5,3,1,1,1,1,1,3,1,1,11,11,0
22497,1,3,1,1,1,1,1,8,1,1,11,11,3
22498,2,3,1,1,1,1,1,4,1,1,11,11,3
22499,3,2,4,5,1,1,1,4,1,1,11,11,3
22500,4,3,1,1,1,1,1,4,1,1,11,11,3
22501,5,2,1,1,1,1,1,3,1,1,11,11,0
22502,1,3,1,2,1,1,1,5,1,1,11,11,3
22503,2,3,1,1,1,1,1,2,1,1,11,11,3
22504,3,3,1,1,1,1,1,1,1,1,11,11,3
22505,4,3,1,1,1,1,1,6,1,1,11,11,3
22506,5,3,1,1,1,1,1,3,1,1,11,11,0
22507,1,3,1,1,1,1,1,3,1,1,11,11,3
22508,2,3,1,1,1,1,1,2,1,1,11,11,3
22509,4,3,1,1,1,1,1,4,1,1,11,11,3
22510,5,3,1,1,1,1,1,2,1,1,11,11,0
22511,1,3,1,1,1,1,1,5,1,1,11,11,3
22512,3,3,1,1,1,1,1,10,1,1,11,11,2
22513,4,3,1,1,1,1,1,4,1,1,11,11,3
22514,5,3,1,1,1,1,2,3,1,1,11,11,0
22515,1,3,1,1,1,1,1,6,1,1,11,11,3
22516,2,2,1,1,1,1,1,9,2,2,11,11,3
22517,3,2,1,1,1,2,2,6,2,2,11,11,3
22518,4,3,1,1,1,1,1,6,1,1,11,11,3
22519,5,3,1,1,1,1,1,2,1,1,11,11,0
22520,1,2,1,1,1,1,1,4,1,1,11,11,3
22521,2,3,1,1,1,1,1,4,1,1,11,11,3
22522,3,2,1,1,1,1,1,5,1,1,11,11,3
22523,4,2,1,1,1,1,1,5,1,1,11,11,3
22524,5,2,1,1,1,2,1,1,1,1,11,11,0
22525,1,3,1,1,1,1,1,5,1,1,11,11,3
22526,2,3,1,1,1,1,1,2,1,1,11,11,3
22527,4,2,1,1,1,1,1,3,1,1,11,11,3
22528,1,3,1,1,1,1,1,4,1,1,11,11,3
22529,2,3,1,1,1,1,1,6,1,1,11,11,3
22530,3,2,1,1,1,1,1,1,1,1,11,11,3
22531,4,2,2,1,1,1,2,8,2,2,11,11,3
22532,1,3,1,1,1,1,1,6,1,1,11,11,3
22533,2,3,1,1,1,1,1,4,1,1,11,11,3
22534,3,3,1,1,1,1,1,4,1,1,11,11,3
22535,4,3,1,1,1,1,1,5,1,1,11,11,3
22536,5,3,1,1,1,1,1,2,1,1,11,11,0
22537,1,3,1,1,1,1,1,6,1,1,11,11,3
22538,2,3,1,1,1,1,1,5,1,1,11,11,3
22539,3,3,1,1,1,1,1,3,1,1,11,11,3
22540,4,3,1,1,1,1,1,3,1,1,11,11,3
22541,1,3,1,1,1,1,1,3,1,1,11,11,3
22542,2,2,1,1,1,1,1,6,1,1,11,11,3
22543,4,3,1,1,1,1,1,6,1,1,11,11,3
22544,5,3,1,1,1,1,1,2,1,1,11,11,0
22545,1,2,2,1,1,2,2,7,1,1,11,11,3
22546,2,3,1,1,1,1,1,2,1,1,11,11,3
22547,3,2,1,1,1,1,1,5,1,1,11,11,3
22548,4,2,4,1,1,1,1,5,1,1,11,11,3
22549,5,2,4,1,1,1,1,6,1,1,11,11,0
22550,1,3,1,1,1,1,1,8,1,1,11,11,3
22551,3,2,1,1,1,1,1,3,1,1,11,11,3
22552,4,2,1,1,1,1,1,5,1,1,11,11,3
22553,5,3,1,1,1,1,1,4,2,2,11,11,0
22554,1,3,1,1,1,1,1,5,1,1,11,11,3
22555,2,3,1,1,1,1,1,5,1,1,11,11,3
22556,3,3,1,1,1,1,1,1,1,1,11,11,3
22557,4,3,1,1,1,1,1,3,1,1,11,11,3
22558,5,3,1,1,1,1,1,4,1,1,11,11,0
22559,1,3,1,1,1,1,1,2,1,1,11,11,3
22560,2,3,1,1,1,1,1,1,1,1,11,11,3
22561,4,3,1,1,1,1,1,1,1,1,11,11,3
22562,5,3,1,1,1,1,1,1,1,1,11,11,0
22563,1,3,1,1,1,1,1,2,1,1,11,11,3
22564,3,3,1,1,1,1,1,4,1,1,11,11,3
22565,4,3,1,1,1,1,1,4,1,1,11,11,3
22566,5,3,1,1,1,1,1,4,1,1,11,11,0
22567,1,3,1,1,1,1,1,4,1,1,11,11,3
22568,1,3,1,1,1,1,1,4,1,1,11,11,3
22569,2,3,1,1,1,1,1,4,1,1,11,11,3
22570,3,3,1,1,1,1,2,2,1,1,11,11,3
22571,4,3,1,1,1,1,2,2,1,1,11,11,3
22572,5,2,1,1,1,1,1,4,1,1,11,11,0
22573,1,2,1,1,1,1,1,2,1,1,11,11,3
22574,2,2,1,1,1,2,2,6,1,1,11,11,3
22575,3,2,1,1,1,1,1,2,1,1,11,11,3
22576,5,2,1,1,1,1,2,1,1,1,11,11,0
22577,1,3,1,1,1,1,1,5,1,1,11,11,3
22578,2,3,1,1,1,1,1,7,1,1,11,11,3
22579,3,3,1,1,1,1,1,10,2,2,11,11,2
22580,5,2,1,1,1,1,1,5,1,1,11,11,0
22581,1,2,1,1,1,1,1,2,1,1,11,11,3
22582,2,3,1,1,1,1,1,3,1,1,11,11,3
22583,3,3,1,1,1,1,2,2,1,1,11,11,3
22584,4,2,2,1,1,2,2,1,1,1,11,11,3
22585,5,2,2,1,1,1,1,5,1,1,11,11,0
22586,1,2,2,1,1,2,2,4,1,1,11,11,3
22587,2,3,1,1,1,1,1,2,1,1,11,11,3
22588,3,3,1,1,1,1,1,4,1,1,11,11,3
22589,4,3,1,1,1,1,1,2,1,1,11,11,3
22590,5,3,1,1,1,1,2,4,1,1,11,11,0
22591,1,2,1,1,1,1,1,3,1,1,11,11,3
22592,2,3,1,1,1,1,1,1,1,1,11,11,3
22593,3,2,1,1,1,1,1,5,1,1,11,11,3
22594,4,3,1,1,1,1,1,3,1,1,11,11,3
22595,5,2,1,1,1,1,1,3,1,1,11,11,0
22596,2,3,1,1,1,1,1,2,1,1,11,11,3
22597,4,3,2,1,1,2,2,2,1,1,11,11,3
22598,5,2,1,1,1,1,1,7,1,1,11,11,0
22599,1,2,1,1,1,1,1,11,1,1,11,11,3
22600,2,2,1,1,1,1,1,2,1,1,11,11,3
22601,3,3,1,1,1,1,1,5,1,1,11,11,3
22602,4,3,1,1,1,1,1,5,2,2,11,11,3
22603,5,2,1,1,1,1,2,6,1,1,11,11,0
22604,1,2,1,1,1,1,2,5,1,1,11,11,3
22605,2,3,1,1,1,1,1,3,1,1,11,11,3
22606,4,2,1,1,1,1,1,3,1,1,11,11,3
22607,1,2,1,1,1,2,2,1,1,1,11,11,3
22608,3,2,2,1,1,2,2,4,1,1,11,11,3
22609,4,2,1,1,1,2,1,5,1,1,11,11,3
22610,5,3,1,1,1,1,1,5,1,1,11,11,0
22611,1,2,1,1,1,1,2,1,1,1,11,11,3
22612,2,3,1,1,1,1,1,4,1,1,11,11,3
22613,3,2,1,1,1,1,1,5,1,1,11,11,3
22614,4,2,1,1,1,1,1,4,1,1,11,11,3
22615,1,3,1,1,1,1,1,6,1,1,11,11,3
22616,2,2,1,1,1,1,2,5,1,1,11,11,3
22617,3,2,1,1,1,1,1,7,1,1,11,11,3
22618,4,2,1,1,1,1,1,2,1,1,11,11,3
22619,5,2,1,1,1,1,1,4,1,1,11,11,0
22620,1,3,1,1,1,1,1,6,1,1,11,11,3
22621,2,3,1,1,1,2,1,3,1,1,11,11,3
22622,3,3,1,1,1,1,1,9,2,3,11,11,3
22623,4,3,1,1,1,1,1,11,1,1,11,11,2
22624,5,3,1,1,1,1,1,4,1,1,11,11,0
22625,1,3,1,1,1,1,1,4,1,1,11,11,3
22626,2,2,1,1,1,1,1,9,1,1,11,11,3
22627,3,3,5,1,1,2,2,8,1,1,11,11,3
22628,4,3,1,1,1,1,1,3,1,1,11,11,3
22629,5,3,1,1,1,1,1,1,1,1,11,11,0
22630,1,3,1,1,1,1,1,4,1,1,11,11,3
22631,2,3,1,1,1,1,1,3,1,1,11,11,3
22632,3,3,1,1,1,1,1,3,1,1,11,11,3
22633,4,3,1,1,1,1,1,4,1,1,11,11,3
22634,5,3,1,1,1,1,1,2,1,1,11,11,0
22635,1,3,1,1,1,1,1,2,1,1,11,11,3
22636,3,3,1,1,1,1,1,3,1,1,11,11,3
22637,4,3,1,1,1,1,1,4,1,1,11,11,3
22638,5,3,1,1,1,1,1,6,1,1,11,11,0
22639,1,3,1,1,1,1,1,5,1,1,11,11,3
22640,2,3,1,1,1,1,1,4,1,1,11,11,3
22641,3,3,1,1,1,1,1,3,1,1,11,11,3
22642,1,3,1,1,1,1,1,3,1,1,11,11,3
22643,2,3,1,1,1,1,1,3,1,1,11,11,3
22644,3,3,1,1,1,1,1,5,1,1,11,11,3
22645,4,3,1,1,1,1,1,4,1,1,11,11,3
22646,5,3,1,1,1,1,1,3,1,1,11,11,0
22647,1,3,1,1,1,1,1,3,1,1,11,11,3
22648,2,3,1,1,1,1,1,3,1,1,11,11,3
22649,3,3,1,1,1,1,1,3,1,1,11,11,3
22650,5,3,1,1,1,1,2,4,1,1,11,11,0
22651,1,3,1,1,1,1,1,4,1,1,11,11,3
22652,2,3,1,1,1,1,1,4,1,1,11,11,3
22653,3,3,1,1,1,1,1,4,1,1,11,11,3
22654,4,3,1,1,1,1,1,2,1,1,11,11,3
22655,5,3,1,1,1,1,1,4,1,1,11,11,0
22656,2,3,1,1,1,1,1,2,1,1,11,11,3
22657,3,3,1,1,1,1,1,1,1,1,11,11,3
22658,4,3,1,1,1,1,2,2,1,1,11,11,3
22659,5,3,1,1,1,1,1,4,1,1,11,11,0
22660,1,3,1,1,1,1,1,4,1,1,11,11,3
22661,2,3,1,1,1,1,1,4,1,1,11,11,3
22662,3,3,1,1,1,1,1,2,1,1,11,11,3
22663,4,3,1,1,1,1,1,4,1,1,11,11,3
22664,5,3,1,1,1,1,1,5,1,1,11,11,0
22665,2,3,1,1,1,1,1,4,1,1,11,11,3
22666,5,3,1,1,1,1,1,10,2,2,11,11,2
22667,2,2,1,1,1,1,1,5,1,1,11,11,3
22668,3,2,1,1,1,2,2,4,1,1,11,11,3
22669,4,3,1,1,1,1,2,3,1,1,11,11,3
22670,5,2,1,1,1,2,1,5,1,1,11,11,0
22671,1,3,1,1,1,1,1,7,1,1,11,11,3
22672,2,2,1,1,1,1,1,7,1,1,11,11,3
22673,3,2,2,1,1,2,1,4,1,1,11,11,3
22674,4,3,1,1,1,1,2,4,1,1,11,11,3
22675,5,2,1,1,1,1,1,6,1,1,11,11,0
22676,1,2,1,1,1,1,1,3,1,1,11,11,3
22677,2,2,1,1,1,1,1,7,2,2,11,11,3
22678,3,3,1,1,1,1,1,7,1,1,11,11,3
22679,4,2,1,1,1,1,1,4,1,1,11,11,3
22680,5,2,1,1,1,1,2,3,1,1,11,11,0
22681,1,3,1,1,1,1,1,10,2,2,11,11,3
22682,2,3,1,1,1,1,1,3,1,1,11,11,3
22683,4,2,2,1,1,2,2,3,1,1,11,11,3
22684,5,2,1,1,1,2,1,4,1,1,11,11,0
22685,1,2,1,1,1,1,1,6,1,1,11,11,3
22686,2,2,4,2,1,1,1,3,1,1,11,11,3
22687,3,2,1,1,1,2,1,7,1,1,11,11,3
22688,4,2,1,1,1,1,2,11,1,1,11,11,2
22689,5,2,1,1,1,1,1,4,1,1,11,11,0
22690,1,2,1,1,1,2,1,2,1,1,11,11,3
22691,2,2,1,1,1,1,2,2,1,1,11,11,3
22692,3,2,1,1,1,1,2,5,1,1,11,11,3
22693,5,3,1,1,1,1,1,4,1,1,11,11,0
22694,2,2,1,1,1,1,1,4,1,1,11,11,3
22695,3,3,1,1,1,1,1,3,1,1,11,11,3
22696,4,3,1,1,1,1,1,3,1,1,11,11,3
22697,5,2,1,1,1,1,1,4,1,1,11,11,0
22698,1,2,1,1,1,1,1,10,2,2,11,11,3
22699,2,3,1,1,1,1,1,4,1,1,11,11,3
22700,3,3,1,1,1,1,1,6,1,1,11,11,3
22701,5,2,1,1,1,1,1,4,1,1,11,11,0
22702,1,3,1,1,1,1,1,6,1,1,11,11,3
22703,2,2,1,1,1,1,1,5,1,1,11,11,3
22704,3,2,2,1,1,1,1,2,1,1,11,11,3
22705,4,2,1,1,1,2,2,1,1,1,11,11,3
22706,5,2,1,1,1,1,1,5,1,1,11,11,0
22707,1,2,1,1,1,1,1,3,1,1,11,11,3
22708,2,3,1,1,1,1,1,6,1,1,11,11,3
22709,4,3,1,1,1,1,1,8,1,1,11,11,3
22710,5,3,1,1,1,1,2,6,1,1,11,11,0
22711,1,2,2,1,1,1,1,3,1,1,11,11,3
22712,2,2,1,1,1,1,1,6,1,1,11,11,3
22713,3,3,1,1,1,1,1,9,2,2,11,11,3
22714,4,2,1,1,1,2,2,5,1,1,11,11,3
22715,5,2,2,1,1,1,1,4,1,1,11,11,0
22716,1,2,1,1,1,1,1,6,1,1,11,11,3
22717,2,2,1,1,1,1,2,1,1,1,11,11,3
22718,3,2,1,1,1,1,1,6,1,1,11,11,3
22719,4,2,1,1,1,1,1,7,1,1,11,11,3
22720,5,2,1,1,1,1,1,5,1,1,11,11,0
22721,1,3,1,1,1,1,1,4,1,1,11,11,3
22722,3,3,1,1,1,1,1,4,1,1,11,11,3
22723,4,3,1,1,1,1,1,4,1,1,11,11,3
22724,5,3,1,1,1,1,1,4,1,1,11,11,0
22725,1,2,2,1,1,2,1,8,1,1,11,11,3
22726,2,3,1,1,1,1,1,9,2,2,11,11,3
22727,3,3,1,1,1,1,1,4,1,1,11,11,3
22728,4,3,1,1,1,1,1,3,1,1,11,11,3
22729,5,2,1,1,1,1,1,2,1,1,11,11,0
22730,1,3,1,1,1,1,1,5,1,1,11,11,3
22731,3,3,1,1,1,1,2,4,1,1,11,11,3
22732,4,3,1,1,1,2,2,2,1,1,11,11,3
22733,1,2,1,2,1,1,1,1,1,1,11,11,3
22734,2,2,1,1,1,1,1,6,1,1,11,11,3
22735,3,3,1,2,1,1,1,4,1,1,11,11,3
22736,5,3,1,1,1,1,1,2,2,2,11,11,0
22737,1,3,1,1,1,1,1,12,2,3,11,11,2
22738,2,3,1,1,1,1,1,4,1,1,11,11,3
22739,4,3,1,1,1,1,2,9,1,1,11,11,0
22740,5,3,1,1,1,1,1,3,1,1,11,11,0
22741,1,3,1,1,1,2,1,5,1,1,11,11,3
22742,2,3,1,1,1,1,1,3,1,1,11,11,3
22743,3,3,4,5,1,1,1,6,1,1,11,11,3
22744,4,3,1,1,1,1,1,2,1,1,11,11,3
22745,5,3,1,1,1,1,1,3,1,1,11,11,0
22746,1,3,1,1,1,1,1,4,1,1,11,11,3
22747,2,3,1,1,1,1,1,3,1,1,11,11,3
22748,4,3,1,1,1,1,1,5,1,1,11,11,3
22749,5,3,1,1,1,1,1,4,1,1,11,11,0
22750,2,3,1,1,1,1,1,6,1,1,11,11,3
22751,3,3,1,1,1,1,1,4,1,1,11,11,3
22752,4,3,1,1,1,1,1,3,1,1,11,11,3
22753,5,3,1,1,1,1,1,3,1,1,11,11,0
22754,1,2,1,1,1,2,2,1,1,1,11,11,3
22755,2,3,1,1,1,1,1,3,1,1,11,11,3
22756,3,2,1,1,1,1,1,4,1,1,11,11,3
22757,5,3,1,1,1,1,1,2,1,1,11,11,0
22758,2,2,1,1,1,1,1,4,1,1,11,11,3
22759,3,2,1,1,1,1,1,5,1,1,11,11,3
22760,5,2,1,1,1,1,1,6,1,1,11,11,0
22761,1,2,1,1,1,1,1,3,1,1,11,11,3
22762,3,3,1,1,1,1,1,4,1,1,11,11,3
22763,4,2,1,1,1,1,1,3,1,1,11,11,3
22764,5,2,2,1,1,1,2,4,1,1,11,11,0
22765,1,3,1,1,1,2,1,6,1,1,11,11,3
22766,2,2,1,1,1,1,1,7,1,1,11,11,3
22767,3,2,1,1,1,1,1,4,1,1,11,11,3
22768,4,2,1,1,1,1,1,3,1,1,11,11,3
22769,1,2,1,1,1,1,1,4,1,1,11,11,3
22770,2,3,1,1,1,1,1,6,1,1,11,11,3
22771,3,2,1,1,1,1,1,3,1,1,11,11,3
22772,5,2,1,1,1,1,1,4,1,1,11,11,0
22773,1,3,1,1,1,1,1,5,1,1,11,11,3
22774,2,3,1,1,1,1,1,4,1,1,11,11,3
22775,3,2,1,1,1,2,2,9,2,2,11,11,3
22776,4,3,1,1,1,1,1,2,1,1,11,11,3
22777,5,2,1,1,1,1,1,5,1,1,11,11,0
22778,2,3,1,1,1,1,1,5,1,1,11,11,3
22779,3,2,1,1,1,1,1,4,1,1,11,11,3
22780,5,2,1,1,1,1,2,4,1,1,11,11,0
22781,1,3,1,1,1,1,1,6,2,2,11,11,3
22782,2,3,1,1,1,1,1,6,1,1,11,11,3
22783,3,2,1,1,1,1,1,7,1,1,11,11,3
22784,4,3,1,1,1,1,1,11,1,1,11,11,2
22785,5,2,1,1,1,2,2,1,1,1,11,11,0
22786,1,2,1,1,1,1,1,7,1,1,11,11,3
22787,2,2,1,1,1,1,1,8,1,1,11,11,3
22788,3,2,1,1,1,1,1,8,1,1,11,11,3
22789,4,3,1,1,1,1,1,3,1,1,11,11,3
22790,5,2,1,1,1,1,1,4,1,1,11,11,0
22791,2,3,1,1,1,1,1,5,1,1,11,11,3
22792,3,3,1,1,1,1,1,4,1,1,11,11,3
22793,4,3,1,1,1,1,1,4,1,1,11,11,3
22794,5,3,1,1,1,1,1,3,1,1,11,11,0
22795,1,2,1,1,1,1,1,5,1,1,11,11,3
22796,2,3,1,1,1,1,1,1,1,1,11,11,3
22797,3,3,1,1,1,1,1,5,1,1,11,11,3
22798,2,2,1,1,1,1,1,6,1,1,11,11,3
22799,3,3,1,1,1,1,1,5,1,1,11,11,3
22800,4,3,1,1,1,2,1,5,1,1,11,11,3
22801,5,3,1,1,1,1,1,4,1,1,11,11,0
22802,1,3,1,1,1,1,1,2,1,1,11,11,3
22803,2,3,1,1,1,1,1,4,1,1,11,11,3
22804,3,3,1,1,1,1,1,2,1,1,11,11,3
22805,4,3,1,1,1,1,1,4,1,1,11,11,3
22806,5,3,1,1,1,1,1,6,1,1,11,11,0
22807,1,3,1,1,1,1,2,2,1,1,11,11,3
22808,2,3,1,1,1,1,1,1,1,1,11,11,3
22809,3,3,1,1,1,1,1,7,1,1,11,11,3
22810,4,3,1,1,1,1,1,4,1,1,11,11,3
22811,5,3,1,1,1,1,1,2,1,1,11,11,0
22812,2,3,1,1,1,1,2,4,1,1,11,11,3
22813,3,3,1,1,1,1,1,4,1,1,11,11,3
22814,4,3,1,1,1,1,1,5,1,1,11,11,3
22815,3,3,2,1,1,1,1,3,1,1,11,11,3
22816,5,3,1,1,1,1,1,4,1,1,11,11,0
